Token,Lemma,Xpos1,Xpos2,Xpos3,Xpos4,Xpos5,Xpos6,Xpos7,ID
Je,byť,V,K,e,s,c,+,-,1
už,už,T,-,-,-,-,-,-,2
skoro,skoro,D,x,-,-,-,-,-,3
október,október,S,S,i,s,1,-,-,4
a,a,O,-,-,-,-,-,-,5
v,v,E,u,6,-,-,-,-,6
škole,škola,S,S,f,s,6,-,-,7
opakujeme,opakovať,V,K,e,p,a,+,-,8
učivo,učivo,S,S,i,s,4,-,-,9
zo,z,E,v,2,-,-,-,-,10
všetkých,všetok,P,F,i,p,2,-,-,11
predmetov,predmet,S,S,i,p,2,-,-,12
.,.,Z,-,-,-,-,-,-,13
Ani,ani,O,-,-,-,-,-,-,1
sme,byť,V,K,e,p,a,+,-,2
sa,sa,R,-,-,-,-,-,-,3
nenazdali,nazdať,V,L,d,p,a,h,-,4
a,a,O,-,-,-,-,-,-,5
ocitli,ocitnúť,V,L,d,p,a,h,+,6
sme,byť,V,K,e,p,a,+,-,7
sa,sa,R,-,-,-,-,-,-,8
v,v,E,u,6,-,-,-,-,9
deviatom,deviaty,N,A,i,s,6,-,-,10
ročníku,ročník,S,S,i,s,6,-,-,11
.,.,Z,-,-,-,-,-,-,12
Myslíme,myslieť,V,K,e,p,a,+,-,1
si,si,R,-,-,-,-,-,-,2
",",",",Z,-,-,-,-,-,-,3
že,že,O,-,-,-,-,-,-,4
tento,tento,P,F,i,s,1,-,-,5
posledný,posledný,N,A,i,s,1,-,-,6
ročník,ročník,S,S,i,s,1,-,-,7
v,v,E,u,6,-,-,-,-,8
našej,náš,P,F,f,s,6,-,-,9
škole,škola,S,S,f,s,6,-,-,10
bude,byť,V,B,e,s,c,+,-,11
náročný,náročný,A,A,i,s,1,x,-,12
aj,aj,T,-,-,-,-,-,-,13
pre,pre,E,u,4,-,-,-,-,14
žiakov,žiak,S,S,m,p,4,-,-,15
",",",",Z,-,-,-,-,-,-,16
aj,aj,O,-,-,-,-,-,-,17
pre,pre,E,u,4,-,-,-,-,18
učiteľov,učiteľ,S,S,m,p,4,-,-,19
",",",",Z,-,-,-,-,-,-,20
aj,aj,O,-,-,-,-,-,-,21
pre,pre,E,u,4,-,-,-,-,22
rodičov,rodič,S,S,m,p,4,-,-,23
.,.,Z,-,-,-,-,-,-,24
Najťažšie,ťažký,A,A,n,s,1,y,-,1
je,byť,V,K,e,s,c,+,-,2
zopakovať,zopakovať,V,I,d,+,-,-,-,3
si,si,R,-,-,-,-,-,-,4
pravopis,pravopis,S,S,i,s,4,-,-,5
",",",",Z,-,-,-,-,-,-,6
pretože,pretože,O,-,-,-,-,-,-,7
sme,byť,V,K,e,p,a,+,-,8
cez,cez,E,u,4,-,-,-,-,9
prázdniny,prázdniny,S,S,f,p,4,-,-,10
veľmi,veľmi,D,x,-,-,-,-,-,11
nepísali,písať,V,L,e,p,a,h,-,12
do,do,E,u,2,-,-,-,-,13
zošitov,zošit,S,S,i,p,2,-,-,14
",",",",Z,-,-,-,-,-,-,15
ale,ale,O,-,-,-,-,-,-,16
sme,byť,V,K,e,p,a,+,-,17
sa,sa,R,-,-,-,-,-,-,18
vozili,voziť,V,L,d,p,a,h,+,19
na,na,E,u,6,-,-,-,-,20
bicykli,bicykel,S,S,f,s,6,-,-,21
",",",",Z,-,-,-,-,-,-,22
hrali,hrať,V,L,e,p,a,h,+,23
futbal,futbal,S,S,i,s,4,-,-,24
",",",",Z,-,-,-,-,-,-,25
počítačové,počítačový,A,A,f,p,4,x,-,26
hry,hra,S,S,f,p,4,-,-,27
",",",",Z,-,-,-,-,-,-,28
pozerali,pozerať,V,L,e,p,c,h,+,29
seriály,seriál,S,S,i,p,4,-,-,30
alebo,alebo,O,-,-,-,-,-,-,31
sa,sa,R,-,-,-,-,-,-,32
opaľovali,opaľovať,V,L,e,p,a,h,+,33
pri,pri,E,u,6,-,-,-,-,34
bazéne,bazén,S,S,i,s,6,-,-,35
.,.,Z,-,-,-,-,-,-,36
Boli,byť,V,L,e,p,a,h,+,1
sme,byť,V,K,e,p,a,+,-,2
aj,aj,T,-,-,-,-,-,-,3
v,v,E,u,6,-,-,-,-,4
zoologickej,zoologický,A,A,f,s,6,x,-,5
záhrade,záhrada,S,S,f,s,6,-,-,6
v,v,E,u,6,-,-,-,-,7
Bratislave,bratislava,S,S,f,s,6,:,r,8
",",",",Z,-,-,-,-,-,-,9
kde,kde,P,D,-,-,-,-,-,10
sme,byť,V,K,e,p,a,+,-,11
videli,vidieť,V,L,e,p,a,h,+,12
hady,hada,S,S,i,p,4,-,-,13
",",",",Z,-,-,-,-,-,-,14
leopardy,leoparda,S,S,i,p,4,-,-,15
",",",",Z,-,-,-,-,-,-,16
paviány,pavián,S,S,i,p,4,-,-,17
",",",",Z,-,-,-,-,-,-,18
slony,slon,S,S,i,p,4,-,-,19
a,a,O,-,-,-,-,-,-,20
medvede,medveď,S,S,i,p,4,-,-,21
.,.,Z,-,-,-,-,-,-,22
Keď,keď,O,-,-,-,-,-,-,1
posielame,posielať,V,K,e,p,a,+,-,2
správy,správa,S,S,f,p,4,-,-,3
z,z,E,u,2,-,-,-,-,4
mobilných,mobilný,A,A,i,p,2,x,-,5
telefónov,telefón,S,S,i,p,2,-,-,6
",",",",Z,-,-,-,-,-,-,7
takmer,takmer,T,-,-,-,-,-,-,8
nikto,nikto,P,F,m,s,1,-,-,9
nepoužíva,používať,V,K,e,s,c,-,-,10
interpunkčné,interpunkčný,A,A,n,p,4,x,-,11
znamienka,znamienka,S,S,n,p,4,-,-,12
.,.,Z,-,-,-,-,-,-,13
Pozabúdali,pozabúdať,V,L,e,p,a,h,+,1
sme,byť,V,K,e,p,a,+,-,2
morfológiu,morfológia,S,S,f,s,4,-,-,3
aj,aj,T,-,-,-,-,-,-,4
syntax,syntax,S,S,f,s,4,-,-,5
.,.,Z,-,-,-,-,-,-,6
Častokrát,častokrát,D,x,-,-,-,-,-,1
si,si,R,-,-,-,-,-,-,2
nespomenieme,spomenúť,V,K,d,p,a,-,-,3
",",",",Z,-,-,-,-,-,-,4
kde,kde,P,D,-,-,-,-,-,5
sa,sa,R,-,-,-,-,-,-,6
píše,písať,V,K,e,s,c,+,-,7
čiarka,čiarka,S,S,f,s,1,-,-,8
vo,v,E,v,6,-,-,-,-,9
vete,veta,S,S,f,s,6,-,-,10
.,.,Z,-,-,-,-,-,-,11
Takmer,takmer,T,-,-,-,-,-,-,1
z,z,E,u,2,-,-,-,-,2
každého,každý,P,A,i,s,2,-,-,3
predmetu,predmet,S,S,i,s,2,-,-,4
nás,my,P,P,h,p,4,-,-,5
čaká,čakať,V,K,e,s,c,+,-,6
vstupný,vstupný,A,A,i,s,1,x,-,7
test,test,S,S,i,s,1,-,-,8
",",",",Z,-,-,-,-,-,-,9
aby,aby,O,Y,-,-,-,-,-,10
si,si,R,-,-,-,-,-,-,11
pani,pani,S,U,f,s,1,-,-,12
učiteľky,učiteľka,S,S,f,s,2,-,-,13
overili,overiť,V,L,d,p,c,f,+,14
",",",",Z,-,-,-,-,-,-,15
čo,čo,P,F,n,s,4,-,-,16
všetko,všetok,P,F,n,s,4,-,-,17
vieme,vedieť,V,K,e,p,a,+,-,18
alebo,alebo,O,-,-,-,-,-,-,19
nevieme,vedieť,V,K,e,p,a,-,-,20
.,.,Z,-,-,-,-,-,-,21
O,o,E,u,4,-,-,-,-,1
pár,pár,N,U,n,s,4,-,-,2
mesiacov,mesiac,S,S,i,p,2,-,-,3
nás,my,P,P,h,p,4,-,-,4
čakajú,čakať,V,K,e,p,c,+,-,5
dôležité,dôležitý,A,A,f,p,1,x,-,6
prijímacie,prijímací,A,A,f,p,1,x,-,7
skúšky,skúška,S,S,f,p,1,-,-,8
na,na,E,u,4,-,-,-,-,9
stredné,stredný,A,A,f,p,4,x,-,10
školy,škola,S,S,f,p,4,-,-,11
.,.,Z,-,-,-,-,-,-,12
Musíme,musieť,V,K,e,p,a,+,-,1
sa,sa,R,-,-,-,-,-,-,2
dobre,dobre,D,x,-,-,-,-,-,3
pripraviť,pripraviť,V,I,d,+,-,-,-,4
",",",",Z,-,-,-,-,-,-,5
aby,aby,O,Y,-,-,-,-,-,6
sme,byť,V,K,e,p,a,+,-,7
si,si,R,-,-,-,-,-,-,8
splnili,splniť,V,L,d,p,a,h,+,9
sny,sen,S,S,i,p,4,-,-,10
o,o,E,u,6,-,-,-,-,11
svojom,svoj,P,F,n,s,6,-,-,12
budúcom,budúci,A,A,n,s,6,x,-,13
povolaní,povolanie,S,S,n,s,6,-,-,14
.,.,Z,-,-,-,-,-,-,15
Výchovno-vzdelávací,výchovno-vzdelávací,A,A,i,s,1,x,-,1
proces,proces,S,S,i,s,1,-,-,2
v,v,E,u,6,-,-,-,-,3
školskom,školský,A,A,i,s,6,x,-,4
roku,rok,S,S,i,s,6,-,-,5
2020/2021,2020/2021,0,-,-,-,-,-,-,6
je,byť,V,K,e,s,c,+,-,7
v,v,E,u,6,-,-,-,-,8
plnom,plný,A,A,i,s,6,x,-,9
prúde,prúd,S,S,i,s,6,-,-,10
.,.,Z,-,-,-,-,-,-,11
Na,na,E,u,4,-,-,-,-,1
cestu,cesta,S,S,f,s,4,-,-,2
za,za,E,u,7,-,-,-,-,3
poznaním,poznanie,S,S,n,s,7,-,-,4
interpunkčných,interpunkčný,A,A,f,p,2,x,-,5
znamienok,znamienok,S,S,f,p,2,-,-,6
sme,byť,V,K,e,p,a,+,-,7
sa,sa,R,-,-,-,-,-,-,8
však,však,T,-,-,-,-,-,-,9
vydali,vydať,V,L,d,p,a,h,+,10
už,už,T,-,-,-,-,-,-,11
v,v,E,u,6,-,-,-,-,12
1,1,0,-,-,-,-,-,-,13
.,.,Z,-,-,-,-,-,-,14
ročníku,ročník,S,S,i,s,6,-,-,15
.,.,Z,-,-,-,-,-,-,16
Zoznamovali,zoznamovať,V,L,e,p,a,h,+,1
sme,byť,V,K,e,p,a,+,-,2
sa,sa,R,-,-,-,-,-,-,3
s,s,E,u,7,-,-,-,-,4
nimi,on,P,F,m,p,7,-,-,5
vo,v,E,v,6,-,-,-,-,6
všetkých,všetok,P,F,i,p,6,-,-,7
predmetoch,predmety,S,S,i,p,6,-,-,8
.,.,Z,-,-,-,-,-,-,9
Na,na,E,u,6,-,-,-,-,1
hodinách,hodina,S,S,f,p,6,-,-,2
slovenčiny,slovenčina,S,S,f,s,2,-,-,3
nás,my,P,P,h,p,4,-,-,4
zaujali,zaujať,V,L,d,p,c,i,+,5
milé,milý,A,A,i,p,1,x,-,6
verše,verš,S,S,i,p,1,-,-,7
Márie,mária,S,S,f,s,2,:,r,8
Rázusovej-Martákovej,rázusovej-Mkovertákový,A,F,f,s,2,x,:,9
i,i,O,-,-,-,-,-,-,10
povesti,povesť,S,S,f,s,2,-,-,11
Jozefa,jozefa,S,S,m,s,2,:,r,12
Cígera-Hronského,cígera-,A,F,m,s,2,x,:,13
.,.,Z,-,-,-,-,-,-,14
Neskôr,neskôr,D,x,-,-,-,-,-,1
sme,byť,V,K,e,p,a,+,-,2
spoznávali,spoznávať,V,L,e,p,a,h,+,3
múdrosť,múdrosť,S,S,f,s,4,-,-,4
našich,náš,P,F,i,p,2,-,-,5
predkov,predok,S,S,i,p,2,-,-,6
v,v,E,u,6,-,-,-,-,7
prísloviach,príslo,S,S,n,p,6,-,-,8
:,:,Z,-,-,-,-,-,-,9
mladosť,mladosť,S,S,f,s,4,-,-,10
–,–,Z,-,-,-,-,-,-,11
pochabosť,pochabosť,S,S,f,s,4,-,-,12
",",",",Z,-,-,-,-,-,-,13
staroba,staroba,S,S,f,s,1,-,-,14
–,–,Z,-,-,-,-,-,-,15
choroba,choroba,S,S,f,s,1,-,-,16
",",",",Z,-,-,-,-,-,-,17
sľuboval,sľubovať,V,L,e,s,c,i,+,18
hory,hora,S,S,f,p,4,-,-,19
–,–,Z,-,-,-,-,-,-,20
doly,dola,S,S,i,s,1,-,-,21
a,a,O,-,-,-,-,-,-,22
nepodá,podať,V,K,d,s,c,+,-,23
pohár,pohár,S,S,i,s,4,-,-,24
vody,voda,S,S,f,s,2,-,-,25
",",",",Z,-,-,-,-,-,-,26
sto,sto,N,U,n,s,4,-,-,27
hláv,hlava,S,S,f,p,2,-,-,28
–,–,Z,-,-,-,-,-,-,29
sto,sto,N,U,n,s,4,-,-,30
rozumov,rozum,S,S,i,p,2,-,-,31
.,.,Z,-,-,-,-,-,-,32
V,v,E,u,6,-,-,-,-,1
dejepise,dejepis,S,S,i,s,6,-,-,2
sme,byť,V,K,e,p,a,+,-,3
sa,sa,R,-,-,-,-,-,-,4
učili,učiť,V,L,e,p,a,h,+,5
o,o,E,u,6,-,-,-,-,6
Rakúsko-Uhorsku,rakúsko-,S,S,n,s,6,:,r,7
i,i,O,-,-,-,-,-,-,8
rozdelení,rozdelenie,S,S,n,s,6,-,-,9
Česko-Slovenska,česko-Slovensko,S,S,n,s,2,:,r,10
.,.,Z,-,-,-,-,-,-,11
",",",",Z,-,-,-,-,-,-,1
",",",",Z,-,-,-,-,-,-,2
Zem,zem,S,S,f,s,1,-,-,3
obieha,obiehať,V,K,e,s,c,+,-,4
okolo,okolo,E,u,2,-,-,-,-,5
Slnka,slnka,S,S,n,s,2,:,r,6
priemernou,priemerný,A,A,f,s,7,x,-,7
rýchlosťou,rýchlosť,S,S,f,s,7,-,-,8
29,29,0,-,-,-,-,-,-,9
",",",",Z,-,-,-,-,-,-,10
8,8,0,-,-,-,-,-,-,11
km/s,km/s,S,S,f,s,2,-,-,12
",",",",Z,-,-,-,-,-,-,13
“,“,Z,-,-,-,-,-,-,14
odznelo,odznieť,V,L,d,s,c,n,+,15
na,na,E,u,6,-,-,-,-,16
fyzike,fyzika,S,S,f,s,6,-,-,17
.,.,Z,-,-,-,-,-,-,18
Voľky-nevoľky,voľky-nevoľky,S,S,f,p,1,-,-,1
sme,byť,V,K,e,p,a,+,-,2
riešili,riešiť,V,L,e,p,a,h,+,3
i,i,T,-,-,-,-,-,-,4
príklady,príklad,S,S,i,p,4,-,-,5
na,na,E,u,4,-,-,-,-,6
pohyb,pohyb,S,S,i,s,4,-,-,7
i,i,O,-,-,-,-,-,-,8
v,v,E,u,6,-,-,-,-,9
matematike,matematika,S,S,f,s,6,-,-,10
.,.,Z,-,-,-,-,-,-,11
Našimi,náš,P,F,m,p,7,-,-,1
vernými,verný,A,A,m,p,7,x,-,2
pomocníkmi,pomocník,S,S,m,p,7,-,-,3
na,na,E,u,6,-,-,-,-,4
angličtine,angličtina,S,S,f,s,6,-,-,5
sú,byť,V,K,e,p,c,+,-,6
anglicko-slovenské,anglicko-slovenský,A,A,i,p,1,x,-,7
slovníky,slovník,S,S,i,p,1,-,-,8
.,.,Z,-,-,-,-,-,-,9
Blíži,blížiť,V,K,e,s,c,+,-,1
sa,sa,R,-,-,-,-,-,-,2
čas,čas,S,S,i,s,1,-,-,3
Vianoc,vianoc,S,S,i,p,2,:,r,4
.,.,Z,-,-,-,-,-,-,5
Hurá,hurá,J,-,-,-,-,-,-,1
!,!,Z,-,-,-,-,-,-,2
Budeme,byť,V,B,e,p,a,+,-,1
písať,písať,V,I,e,+,-,-,-,2
esemesky,esemesk,S,S,i,p,4,-,-,3
k,k,E,u,3,-,-,-,-,4
Vianociam,vianociam,S,S,f,s,3,:,r,5
aj,aj,T,-,-,-,-,-,-,6
s,s,E,u,7,-,-,-,-,7
interpunkciou,interpunkcia,S,S,f,s,7,-,-,8
?,?,Z,-,-,-,-,-,-,9
O,o,E,u,6,-,-,-,-,1
pohánke,pohánka,S,S,f,s,6,-,-,2
sa,sa,R,-,-,-,-,-,-,3
tradujú,tradovať,V,K,e,p,c,+,-,4
tri,tri,N,N,i,p,1,-,-,5
chýry,chýra,S,S,i,p,1,-,-,6
",",",",Z,-,-,-,-,-,-,7
z,z,E,u,2,-,-,-,-,8
ktorých,ktorý,P,A,f,p,2,-,-,9
dva,dva,N,X,i,p,1,-,-,10
sú,byť,V,K,e,p,c,+,-,11
zaručene,zaručene,D,x,-,-,-,-,-,12
nepravdivé,pravdivý,A,A,i,p,1,x,-,13
.,.,Z,-,-,-,-,-,-,14
Hovorí,hovoriť,V,K,e,s,c,+,-,1
sa,sa,R,-,-,-,-,-,-,2
",",",",Z,-,-,-,-,-,-,3
že,že,O,-,-,-,-,-,-,4
je,byť,V,K,e,s,c,+,-,5
to,to,P,F,n,s,1,-,-,6
jedlo,jedlo,S,S,n,s,1,-,-,7
chudobných,chudobný,A,A,f,p,2,x,-,8
.,.,Z,-,-,-,-,-,-,9
Naši,náš,P,F,m,p,1,-,-,1
predkovia,predok,S,S,m,p,1,-,-,2
mali,mať,V,L,e,p,c,m,+,3
pohánkovú,pohánkový,A,A,f,s,4,x,-,4
kašu,kaša,S,S,f,s,4,-,-,5
na,na,E,u,6,-,-,-,-,6
stole,stôl,S,S,i,s,6,-,-,7
častejšie,často,D,y,-,-,-,-,-,8
ako,ako,O,-,-,-,-,-,-,9
zemiaky,zemiak,S,S,i,p,4,-,-,10
.,.,Z,-,-,-,-,-,-,11
Dnes,dnes,D,x,-,-,-,-,-,1
to,to,P,F,n,s,1,-,-,2
však,však,T,-,-,-,-,-,-,3
neplatí,platiť,V,K,e,s,c,-,-,4
",",",",Z,-,-,-,-,-,-,5
lebo,lebo,O,-,-,-,-,-,-,6
zažíva,zažívať,V,K,e,s,c,+,-,7
renesanciu,renesancia,S,S,f,s,4,-,-,8
najmä,najmä,T,-,-,-,-,-,-,9
v,v,E,u,6,-,-,-,-,10
obchodoch,obchod,S,S,i,p,6,-,-,11
so,s,E,v,7,-,-,-,-,12
zdravou,zdravý,A,A,f,s,7,x,-,13
výživou,výživ,S,S,f,s,7,-,-,14
.,.,Z,-,-,-,-,-,-,15
Neplatí,platiť,V,K,e,s,c,-,-,1
ani,ani,O,-,-,-,-,-,-,2
druhý,druhý,N,A,i,s,4,-,-,3
mýtus,mýtus,S,S,i,s,4,-,-,4
",",",",Z,I,P,-,-,-,-,5
ktorý,ktorý,P,A,i,s,1,-,-,6
zaraďuje,zaraďovať,V,K,e,s,c,+,-,7
pohánku,pohánok,S,S,f,s,4,-,-,8
medzi,medzi,E,u,4,-,-,-,-,9
obilniny,obilniny,S,S,f,p,4,-,-,10
.,.,Z,-,-,-,-,-,-,11
Aj,aj,O,-,-,-,-,-,-,1
keď,keď,O,-,-,-,-,-,-,2
nejde,ísť,V,K,e,s,c,-,-,3
o,o,E,u,4,-,-,-,-,4
obilninu,obilnina,S,S,f,s,4,-,-,5
",",",",Z,-,-,-,-,-,-,6
veľmi,veľmi,D,x,-,-,-,-,-,7
sa,sa,R,-,-,-,-,-,-,8
na,na,E,u,4,-,-,-,-,9
ňu,ona,P,F,f,s,4,-,-,10
ponáša,ponášať,V,K,e,s,c,+,-,11
